Filename,Actual,Predicted,Title,Author
1080-0.txt,1729,1896.118399098609,A Modest Proposal,Jonathan Swift
10800-0.txt,1624,1873.2991780863856,The Anatomy of Melancholy,Democritus Junior
10827-0.txt,1531,1895.9301292766966,Discourses on the First Decade of Titus Livius,Niccolo Machiavelli
1145-0.txt,1800,1906.2764481960646,Rupert of Hentzau,Anthony Hope
1147-0.txt,1743,1845.465269151295,From This World to the Next,Henry Fielding
1192-0.txt,1710,1881.476517552097,The Old Bachelor,William Congreve
1244-0.txt,1695,1879.8562778699145,Love for Love,William Congreve
1251-0.txt,1485,1872.2857421442811,"Le Morte D’Arthur, Volume I (of II)",Thomas Malory
1252-0.txt,1485,1901.6725652790994,"Le Morte D’Arthur, Volume II (of II)",Thomas Malory
1292-0.txt,1700,1875.1336560331526,The Way of the World,William Congreve
13586-0.txt,1764,1899.0065872051887,Poems,Samuel Rogers
1382-0.txt,1800,1902.1034397710528,"Poems, Volume 2 [of 3]",George Meredith
140-0.txt,1707,1904.6338928020607,The Jungle,Upton Sinclair
14495-0.txt,1723,1871.88606589345,De Carmine Pastorali,Rene Rapin
14504-0.txt,1664,1811.9352238624097,Experiments and Considerations Touching Colours,Robert Boyle
1469-0.txt,1783,1905.9887772984005,Poems,Francis Thompson
147-0.txt,1766,1874.4293084863486,Common Sense,Thomas Paine
1471-0.txt,1783,1887.720478423598,New Poems,Francis Thompson
15491-0.txt,1665,1830.5779145497597,Micrographia,Robert Hooke
1625-0.txt,1800,1905.904877950637,The Frozen Deep,Wilkie Collins
1807-0.txt,2000,1915.926311859219,The Lost House,Richard Harding Davis
18781-0.txt,1598,1894.2317803420353,Hero and Leander,Christopher Marlowe
19213-0.txt,1786,1904.2733185791922,"The History of England in Three Volumes, Vol.I., Part C.",David Hume
1962-0.txt,1595,1865.2820151032665,A Defence of Poesie and Poems,Philip Sidney
20-0.txt,1667,1818.760809163087,Paradise Lost,John Milton
20257-0.txt,1759,1895.239295012925,A Political Romance,Laurence Sterne
2130-0.txt,1516,1825.868536165041,Utopia,Thomas More
21333-0.txt,1623,1895.1846734191263,Doom Castle,Neil Munro
21410-0.txt,1668,1883.5496729573858,The Isle Of Pines (1668),Henry Neville
2160-0.txt,1641,1796.3361992393163,The Expedition of Humphry Clinker,Tobias Smollett
220-0.txt,1611,1905.3384310598417,The Secret Sharer,Joseph Conrad
2363-0.txt,1692,1866.9176599452817,Incognita,William Congreve
2421-0.txt,1728,1891.7817580219178,The Beggar's Opera,John Gay
2677.txt,1997,1933.715851118133,Epistles from Pap: Letters from the man known as 'The Will,"J. Frank Durham, Edited by"
2801-0.txt,1656,1843.555592149143,The Commonwealth of Oceana,James Harrington
300.txt,1776,1905.448104045635,United States Declaration of Independence,Thomas Jefferson
3207-0.txt,1651,1901.567092531404,Leviathan,Thomas Hobbes
3234.txt,1734,1888.157856760962,The Letters of the Younger Pliny,Pliny the Younger
3270-0.txt,1688,1872.516087188888,The Jerusalem Sinner Saved,John Bunyan
3331.txt,1666,1772.6410665562116,The Diary of Samuel Pepys,Samuel Pepys
3414.txt,2000,1908.1947488849146,"The South Pole, Volume 1",Roald Amundsen
3548-0.txt,1685,1858.0587246262735,The Pharisee and the Publican,John Bunyan
369-0.txt,1738,1901.2430196217754,The Outlaw of Torn,Edgar Rice Burroughs
37012-0.txt,1706,1884.27592573425,The Recruiting Officer,George Farquhar
3719-0.txt,2000,1897.5387533808362,The Mistletoe Bough,Anthony Trollope
383-0.txt,1773,1880.2797303073826,She Stoops to Conquer,Oliver Goldsmith
3841-0.txt,1628,1874.4366202819697,"Memoirs of Marguerite de Valois, Complete","Marguerite de Valois, Queen of Navarre"
4200-0.txt,1665,1773.411883602791,"Diary of Samuel Pepys, Complete",Samuel Pepys
45777-0.txt,1993,1837.122921276262,"The Works of Aphra Behn, Volume VI",Aphra Behn
46879-0.txt,1702,1893.073667889963,The Miner's Friend,Thomas Savery
46879-8.txt,1702,1893.0736678899611,The Miner's Friend,Thomas Savery
46879.txt,1702,1893.0753728755187,The Miner's Friend,Thomas Savery
46960-8.txt,1991,1909.5751118795297,Beasts & Men,Jean de Bosschère
46960.txt,1991,1909.5760931604218,Beasts & Men,Jean de Bosschere
46990-0.txt,1789,1890.3634249697034,The Guinea Voyage,James Field Stanfield
46990-8.txt,1789,1890.3634249697034,The Guinea Voyage,James Field Stanfield
46990.txt,1789,1890.3636734535735,The Guinea Voyage,James Field Stanfield
47082-0.txt,1634,1834.2237362929827,New Englands Prospect,William Wood
47082-8.txt,1634,1834.2360587967778,New Englands Prospect,William Wood
47108-0.txt,1996,1916.0436360390463,Deserts,A. S. Walker
47108-8.txt,1996,1916.0437508436514,Deserts,A. S. Walker
47108.txt,1996,1916.062409825762,Deserts,A. S. Walker
47111-8.txt,1768,1892.241739475154,Letters from a Farmer in Pennsylvania to the Inhabitants of the British Colonies,John Dickinson
47111.txt,1768,1892.2464788011016,Letters from a Farmer in Pennsylvania to the Inhabitants of the British Colonies,John Dickinson
47130-8.txt,1748,1890.9666782464187,A Voyage Round the World,George Anson
47130.txt,1748,1890.9666688215252,A Voyage Round the World,George Anson
47335-8.txt,1778,1897.7664402006762,Food for the Mind,John-the-Giant-Killer
47340-0.txt,1994,1911.811807371253,Earthquakes,Kaye M. Shedlock
47340.txt,1994,1911.812102984441,Earthquakes,Kaye M. Shedlock
47379-8.txt,1783,1886.427079175078,A Bold Stroke for a Husband,Hannah Cowley
47462-0.txt,1634,1853.5131735369066,Castara,William Habington
47509-0.txt,1675,1867.242323651503,An Essay to the Restoring of our Decayed Trade.,Joseph Trevers
47518-8.txt,1611,1878.6336369155076,Shakespeare's Comedy of The Tempest,William Shakespeare
47518.txt,1611,1878.6342783096622,Shakespeare's Comedy of The Tempest,William Shakespeare
47604-0.txt,1780,1887.4598263325902,The Belle's Stratagem,Hannah Cowley
47638-8.txt,1779,1894.893493448541,A treatise on the culture of the tobacco plant with the manner in which it is usually cured,Jonathan Carver
47765-0.txt,1579,1870.627761972486,A Profitable Instruction of the Perfite Ordering of Bees,Thomas Hyll
47787-0.txt,1564,1848.6334065882997,Brief Lives (Vol. 1 of 2),John Aubrey
47791-0.txt,1564,1872.2580957589169,Brief Lives (Vol. 2 of 2),John Aubrey
47837-0.txt,1634,1859.5588514466967,The Mysteryes of Nature and Art,John Bate
47960-0.txt,1597,1887.9070291163046,Shakespeare's Tragedy of Romeo and Juliet,William Shakespeare
48250-8.txt,1559,1819.3507174103001,The History of the Reformation of Religion in Scotland,John Knox
48349-8.txt,1723,1889.7859001484676,The religious and loyal subject's duty considered: with regard to the present Government and the Revolution,Isaac Terry
48370-8.txt,1710,1894.9614646134128,A sermon preach'd before the Right Honourable the Lord-Mayor : the aldermen and citizens of London,Andrew Snape
48440-8.txt,1633,1851.3219631293011,The Plays of Philip Massinger,Philip Massinger
48465-0.txt,1816,1921.8827379905479,United States Steel,Arundel Cotter
48528-8.txt,1768,1906.7935443327774,"The great probability of a North West Passage: deduced from observations on the letter of Admiral de Fonte, who sailed from the",Thomas Jefferys
48714.txt,1994,1930.9075361232021,Cape Gloucester: The Green Inferno,Bernard C. Nalty
48796-0.txt,1969,1861.2303489191281,Index Expurgatorius Anglicanus,W. H. Hart
48807-0.txt,1991,1947.453820291017,First Offensive: The Marine Campaign for Guadalcanal,Henry I. Shaw
48808-0.txt,1997,1937.1774214833222,Top of the Ladder: Marine Operations in the Northern Solomons,John C. Chapin
48810-0.txt,1992,1929.6016695393478,A Magnificent Fight: Marines in the Battle for Wake Island,Robert J. Cressman
48811-0.txt,1995,1945.1518345786374,From Makin to Bougainville: Marine Raiders in the Pacific War,Jon T. Hoffman
48836-0.txt,1993,1940.9210288869585,Across The Reef: The Marine assault of Tarawa,Joseph H. Alexander
48898-0.txt,1994,1928.2387092883982,Breaking the Outer Ring: Marine Landings in the Marshall Islands,John C. Chapin
48899-0.txt,1994,1934.6270486739975,Breaching the Mariana: The Battle for Saipan,John C. Chapin
48936-0.txt,1993,1931.932321267811,Up The Slot: Marines in the Central Solomons,Charles D. Melson
48969-0.txt,1994,1932.4453534993795,A Close Encounter: The Marine Landing on Tinian,Richard Harwood
49032-0.txt,1996,1933.7932102065981,Bloody Beaches: The Marines at Peleliu,Gordon D. Gayle
49045-0.txt,1200,1895.8853209767926,The Expositor's Bible: The Book of Deuteronomy,Andrew Harper
49056-0.txt,1992,1935.9174256828637,Liberation: Marines in the Recapture of Guam,Cyril J. O'Brien
49080-0.txt,1994,1908.181628198947,Closing In: Marines in the Seizure of Iwo Jima,Joseph H. Alexander
49296-8.txt,1800,1905.3624339985959,Retained for the Defence,John Oxenford
49319-8.txt,1721,1885.2383569334718,An Essay on Contagious Diseases,Clifton Wintringham
49323-0.txt,1650,1898.9532384073184,A Satyr Against Hypocrites,John Phillips
4937.txt,1663,1831.7056086577863,Hudibras,Samuel Butler
49416-0.txt,1997,1923.245307014448,The Airship Boys' Ocean Flyer,H. L. Sayler
49461-8.txt,1716,1873.4473346419852,Bartholomew Fair,Ben Jonson
49476-0.txt,1776,1882.3259607351042,Thoughts on General and Partial Inoculations,Thomas Dimsdale
49564-0.txt,1730,1891.3875089349904,A Treatise of Buggs,John Southall
49580-0.txt,1594,1818.5527522848686,Wallace,Henry the Minstrel
